gnd_id,tower_id,intersection_area
"1230335","30669",12808.3715820312
"1230335","31172",2014946.44668579
"1230335","31419",29450.704498291
"1203105","37419",293566.880401611
"1203105","37167",458.162292480469
"1203105","37168",4124.40707397461
"1230250","31166",453367.676818848
"1230250","31419",1850180.50863647
"1230250","31921",128257.834472656
"1230340","30669",794.798858642578
"1230340","31172",103786.090759277
"1230340","31419",1854156.29302979
"1230295","30928",156440.341552734
"1230295","32182",637277.138793945
"1230295","32185",300719.951751709
"1230255","31172",89563.4891967773
"1230255","31419",1840859.14910889
"1230255","31921",136616.344696045
"1230260","31172",879921.647827148
"1230260","31675",21403.6878356934
"1230260","31419",113258.077789307
"1230200","31427",542728.199462891
"1230200","31928",112793.399261475
"1221100","33662",41240.7373962402
"1221100","33409",28215.3790893555
"1221100","33160",570417.94644165
"1221100","33158",26798.0603942871
"1221100","32907",280023.655548096
"1221135","33409",278531.336517334
"1221135","33160",2127.24063110352
"1221135","33158",195485.104888916
"1221135","32907",267000.609008789
"1221240","32658",626466.239715576
"1221240","32157",33778.397857666
"1221240","32155",347806.256317139
"1221240","31904",5738.78854370117
"1221260","32662",355009.850036621
"1221260","32660",2768.18347167969
"1221260","32411",868.409942626953
"1221260","32410",728614.688171387
"1221230","32656",10970.6484985352
"1221230","32405",344103.526611328
"1221230","32404",460785.088195801
"1221185","32656",208130.643157959
"1221185","32404",449652.207092285
"1203085","37419",494090.969116211
"1203085","37168",161921.742218018
"1203080","37670",108369.236480713
"1203080","37419",206406.064697266
"9215130","37477",1179469.54907227
"9215130","38228",291589.797912598
"9215130","38225",651424.945861816
"9209010","37232",2265387.64419556
"9218160","37711",1060020.66055298
"9218160","36959",231075.102905273
"9218170","37710",518022.960113525
"9218170","37711",1736095.87609863
"9218170","36959",101412.698547363
"9221040","35203",1490514.15097046
"9221040","34959",312809.734222412
"9221040","33694",3115829.52102661
"9221040","32697",536689.310913086
"9212155","37477",826500.803497314
"9227160","30953",3428037.32620239
"9227160","29710",1082286.009552
"9227160","31466",308135.019775391
"9227160","31457",7885539.05374146
"9224095","34211",2756784.77816772
"9224095","34714",285746.346343994
"9230150","28427",5014599.78613281
"9230150","27930",1633919.94232178
"9233065","26938",6252577.12081909
"9233065","30953",1693497.23077393
"9233065","29710",1957240.54782104
"9233065","29190",810396.960205078
"9233120","26938",7121262.40576172
"9233130","26938",8810541.86044312
"9233130","29710",1864271.88366699
"9233130","28960",1190702.83172607
"9233130","26450",18150001.3190918
"9230175","27427",55049.461517334
"9230175","27930",4389592.82385254
"9233125","26938",16117939.111084
"9233125","25187",2174075.80627441
"9233125","26450",3160612.83288574
"9215115","38225",1127655.77056885
"9215115","37968",771501.370635986
"9230180","27427",1115618.8928833
"9230180","27930",2290126.09542847
"9233010","30953",6812847.72042847
"9215035","39230",1816219.465271
"9215035","38225",5143.48303222656
"9224025","35218",934130.639801025
"9224025","34714",1895629.32260132
"9209270","35981",1193365.70849609
"9218390","35203",883182.589508057
"9218390","35455",2529817.68884277
"9209275","33724",539614.60043335
"9209275","35981",1701324.78353882
"9233060","30953",1511904.23544312
"9233060","29190",2070679.5189209
"9212285","35218",1164828.26382446
"9212285","34720",842646.931976318
"9230080","30683",1888954.36184692
"9230095","30439",2215709.12316895
"9230095","30434",3421556.06066895
"9203340","39236",824860.640380859
"9203340","40242",1116653.03466797
"9230075","30683",818199.253631592
"9230075","30434",2103201.51187134
"9206015","39246",2623259.08282471
"9203390","39236",1739810.0970459
"9203390","40242",30502.2815856934
"9203400","38479",16612.3498535156
"9203400","39236",1007242.28723145
"9203410","39236",93391.0820007324
"9203410","38738",1013439.20327759
"9206125","38490",543480.662628174
"9206115","38490",123610.599975586
"9206115","38243",1443146.16445923
"9206210","38498",492550.914428711
"9206210","38247",517438.447479248
"9206210","38243",1366512.33132935
"9212095","38483",1297371.50576782
"9212140","37477",605684.113800049
"9212140","37232",157374.908416748
"9206235","37239",1589594.62075806
"9224045","34211",112007.464782715
"9224045","34710",4238532.23361206
"9215240","34959",2161410.63192749
"9218310","35193",32416.5960388184
"9218310","36448",159703.602783203
"9218310","36953",104022.443695068
"9218310","35700",4356760.33816528
"9218295","35203",3970.66372680664
"9218295","35700",681192.115692139
"9218295","36205",2689372.64285278
"9209215","36237",477.194274902344
"9209215","35981",1455270.65042114
"9212250","35971",676842.831054688
"9212055","38479",496636.47869873
"9212055","38228",865240.690887451
"9212055","38225",419357.142578125
"9203440","38738",75460.2529296875
"9203440","38736",800747.009063721
"9206130","38490",308947.84161377
"9215200","34959",889872.331207275
"9215200","36717",2604818.83111572
"9215200","34710",31177.3956604004
"9215230","34959",1863153.03094482
"9218365","34959",1545212.00320435
"9221010","35203",2067308.81390381
"9221010","35455",304734.422637939
"9218375","34959",2903066.48306274
"9218375","35455",804642.505554199
"9206335","36237",624082.578216553
"9209305","35237",1953281.57620239
"9209305","33724",54315.2078552246
"9209305","36237",1107112.59893799
"9215205","34959",542006.919403076
"9215205","36717",1357638.0244751
"9206325","36237",525056.393554688
"9206325","35992",344525.153503418
"9203205","40242",1103678.50112915
"9221125","33442",3567717.72589111
"9221125","32185",1220905.52313232
"9203240","40246",2760870.43249512
"9203220","40242",298255.978485107
"9209200","33724",1515073.87155151
"9209200","35981",3466849.89593506
"9209200","34720",599991.456939697
"9215095","38225",1138679.72525024
"9218320","35193",9784.93081665039
"9218320","35700",249564.48916626
"9218320","34695",1812472.24890137
"9209280","35237",5722.06298828125
"9209280","33724",409954.330993652
"9209280","36237",154123.681915283
"9209280","35981",1391010.63656616
"1203060","37671",138421.553222656
"1203060","37670",170974.31640625
"1203060","37419",39251.5511779785
"1212425","36690",798802.009979248
"1212425","36688",2563.20571899414
"1212425","37192",1753803.58370972
"1203070","37670",282354.538269043
"1203070","37419",117788.667541504
"1203055","37671",420547.77633667
"1203055","37421",34507.9026489258
"1203055","37419",4517.91220092773
"1203090","37671",22325.5063476562
"1203090","37419",365518.993530273
"1203090","37169",33228.2366943359
"1212410","37695",110656.046630859
"1212410","37192",1274728.2074585
"1212410","37446",297407.758361816
"1212370","37454",866586.790405273
"1212370","37200",9182.84274291992
"1212370","36953",558530.051239014
"1212360","37206",1581921.8331604
"1212360","36953",297004.6015625
"1227475","34437",253019.299530029
"1227475","34939",147841.299133301
"1227480","34437",128782.794555664
"1227480","34939",424644.95425415
"1203185","35410",1256047.21563721
"1203075","37670",136750.746887207
"1203075","37419",174488.823913574
"1203190","34407",39928.6377258301
"1203190","35410",419023.214630127
"1227700","33935",605298.214935303
"1230155","33186",400407.407104492
"1230155","32182",4354.89974975586
"1230155","32185",926645.11920166
"1227745","33935",51760.1343383789
"1227745","32929",302126.452911377
"1206035","38431",1315938.36904907
"1206035","38178",16923.4028320312
"1206020","38676",73258.1280822754
"1206020","38679",692355.98147583
"1206020","38425",392752.79397583
"1206020","38426",2725.07662963867
"1206040","38679",471955.087249756
"1206040","38431",403642.418792725
"1206040","38178",1771848.88137817
"1206055","38676",127158.767333984
"1206055","38425",304263.144256592
"1206055","38426",508572.71875
"1239195","30403",28495.6297912598
"1239195","30401",545605.19128418
"1239115","30403",371050.434387207
"1239115","30401",407314.382202148
"1239115","30653",393620.007354736
"1239115","30654",16573.9862060547
"1239115","30651",49728.1136474609
"1239115","30652",67464.6151123047
"1227460","34440",977695.886444092
"1227460","35193",25092.501159668
"1227390","35193",1295497.93936157
"1215535","35173",158633.588409424
"1215535","34670",1820586.96817017
"1215535","34672",97592.4950256348
"1215590","34167",872875.713806152
"1215590","34670",252536.092956543
"1215590","34668",482902.504821777
"1215480","34423",279084.711120605
"1215480","34925",372451.610137939
"1215480","34673",445653.512023926
"1215470","34925",130852.777008057
"1215470","34924",82080.4532775879
"1215470","34673",412332.956451416
"1215470","34672",153272.784454346
"1206030","38679",1260106.1751709
"1206030","39433",1076387.65298462
"1206030","38431",330694.528259277
"1206030","38178",13271.6424560547
"1215580","34667",508227.407867432
"1215580","34668",202329.089935303
"1206010","38676",464570.941436768
"1206010","38679",10302.1756591797
"1206010","39178",306805.426727295
"1206025","38679",1488589.95352173
"1212545","37200",1226.9733581543
"1212545","35944",563956.154418945
"1212545","35941",574548.787200928
"1212155","38209",1056293.56588745
"1212095","38958",988927.390319824
"1212480","36448",896861.502929688
"1212480","37200",301075.059783936
"1212630","35944",497958.923126221
"1212160","37710",295601.227722168
"1212160","37962",1617826.85095215
"1212160","38209",1147187.3180542
"1239210","29649",104730.065612793
"1239210","29650",574420.707672119
"1239210","30152",380693.386627197
"1239210","29900",232387.873504639
"1239230","29405",98563.3671875
"1239230","30158",282362.813110352
"1239230","29906",407430.957122803
"1212055","39457",2678570.05865479
"1212120","38204",1062629.31521606
"1212120","38958",154854.679473877
"1212570","36690",2139026.97360229
"1212570","36688",403969.525177002
"1212570","36441",4706.95928955078
"1212455","36441",12248.7508544922
"1212455","37200",73858.198059082
"1212455","37446",274002.679656982
"1212455","35941",116207.115875244
"1212465","37200",342547.823669434
"1212465","35944",31787.395111084
"1212465","35941",28003.5349731445
"1212100","38204",15330.1023254395
"1212100","38958",805273.934082031
"1212535","36448",236871.949279785
"1212535","37200",80407.6907043457
"1212535","35944",135012.003356934
"1212555","36441",425084.894714355
"1236130","30395",176550.333648682
"1236130","30396",88946.0975341797
"1236130","30145",84025.6602478027
"1236130","30144",61960.3027954102
"1236110","30397",73062.6926879883
"1236110","30398",39244.2139587402
"1236110","30147",1357.76531982422
"1236110","30146",371421.920043945
"1236135","30396",108851.691986084
"1236135","30145",343179.747589111
"1236135","30146",27556.1393737793
"1236135","29894",8699.63534545898
"1236155","30401",196264.495910645
"1236155","30400",9714.60928344727
"1236155","30148",87434.9844360352
"1236155","29898",29517.9176025391
"1212090","38209",538659.69708252
"1212090","38958",829012.705047607
"1236160","30401",132256.751159668
"1236160","30148",169417.222900391
"1236160","29897",9000.72552490234
"1236160","29898",695585.40447998
"1212105","38204",309564.493713379
"1212105","38958",542714.489501953
"1212110","37952",306278.537841797
"1212110","38204",1636659.29241943
"1212110","38958",205111.79776001
"1212400","37446",1780630.98831177
"1212320","37701",884004.538116455
"1212320","37200",129424.357879639
"1212320","37446",138881.555084229
"1212375","37200",661991.414733887
"1212415","37192",550838.818511963
"1233405","31152",21295.6940612793
"1233405","30902",150959.609832764
"1233405","30904",337547.013580322
"1233405","31656",171804.950531006
"1206015","38679",751405.907043457
"1206015","39178",147366.567138672
"1236105","30397",6493.30056762695
"1236105","30398",777480.375366211
"1236105","30400",246.525573730469
"1236105","30147",42775.2406616211
"1236105","30148",3821.29458618164
"1236105","30648",32717.7451782227
"1233425","31151",257490.126861572
"1233425","31152",5405.80355834961
"1233425","31401",29.7677917480469
"1227655","33931",1659133.11126709
"1227670","34430",487907.28894043
"1227670","33675",626.626159667969
"1227670","33931",399059.571960449
"1227710","33435",1183203.32931519
"1227710","33935",576147.322692871
"1227610","33435",1190798.73309326
"1227610","34190",994665.791046143
"1227755","33435",61285.6594238281
"1227755","32929",1929889.13360596
"1227650","33931",1342037.79217529
"1227650","33935",30342.0272216797
"1206135","37672",50984.4774475098
"1206135","37421",70312.3617248535
"1206135","37423",980182.046417236
"1206135","37172",45462.2153930664
"1206130","37672",342850.06918335
"1206130","37421",179366.120910645
"1206130","37423",29720.3916931152
"1227190","35187",751883.563262939
"1227190","35440",400306.280090332
"1227185","35187",276674.127288818
"1227185","35440",43090.107208252
"1227180","35187",1072752.96917725
"1227180","34934",1955.71112060547
"1227275","35185",1062909.47079468
"1227275","35183",584648.200195312
"1227175","35185",673355.833953857
"1227615","33435",159925.925445557
"1227615","34190",685921.300231934
"1227615","33935",131395.229003906
"1227635","33935",307577.674346924
"1227660","33931",1816866.78033447
"1239080","30407",7811.05258178711
"1239080","31157",385035.681121826
"1239080","30908",767018.973327637
"1239080","30154",362818.866394043
"1239080","30654",27854.3512268066
"1239070","30407",13388.4030151367
"1239070","30909",1378780.81027222
"1239070","30908",149358.269226074
"1239075","30407",166318.715118408
"1239075","30909",75046.7763671875
"1239075","30908",1086398.05343628
"1239075","30154",34055.8219604492
"1239050","30664",40671.8641662598
"1239050","30913",771274.771575928
"1239050","30661",549640.63885498
"1239105","30653",196969.043334961
"1239105","30654",732532.912506104
"1239065","30410",149.299743652344
"1239065","30407",5068.72177124023
"1239065","30909",859720.113647461
"1239065","30157",306877.315063477
"1227170","35185",155036.172119141
"1227170","35686",53397.187713623
"1227255","35187",1441210.93087769
"1227255","34934",4265.95373535156
"1239220","29654",934695.42767334
"1239220","29402",100610.145477295
"1239220","29906",250229.305877686
"1239220","29903",354649.803710938
"1239235","30158",429476.904510498
"1227005","35686",11486.1693725586
"1227005","35683",629549.275543213
"1239215","29650",297398.672149658
"1239215","30154",66493.6540527344
"1239215","30152",213039.192260742
"1239215","29903",94224.9615478516
"1227520","33931",643585.672851562
"1239225","29654",152903.442993164
"1239225","29906",829474.28604126
"1239055","30410",238225.644775391
"1239055","30913",200295.876922607
"1239055","30912",185122.712799072
"1239055","30661",895184.164489746
"1224175","33669",363082.9324646
"1224175","33165",319460.210113525
"1209200","38697",1423817.0007019
"1209200","38693",124363.794403076
"1209200","39446",75783.354309082
"1209200","39201",857.414245605469
"1209080","39446",328880.995819092
