gnd_id,distance_roadways_motorway,distance_roadways_trunk,distance_roadways_primary,distance_roadways_secondary,distance_roadways_tertiary
"2133120",70861.4521162987,280.207073596291,280.207073596291,90.7342828319267,90.7342828319267
"2133245",70893.9830704451,999.405125845238,999.405125845238,999.405125845238,999.405125845238
"2133295",66930.2110902434,274.929195918678,274.929195918678,274.929195918678,0
"2133280",67138.0555117108,0,0,0,0
"2133370",65849.2578436631,146.523298450808,146.523298450808,0,0
"2136190",65615.3097200225,1905.35692473049,1905.35692473049,1905.35692473049,1905.35692473049
"2136160",66407.9110340767,3109.85343327306,3109.85343327306,3109.85343327306,3109.85343327306
"2136195",66410.4624294129,2632.56510425337,2632.56510425337,2632.56510425337,2632.56510425337
"2136145",67963.2129670532,2566.51059326527,2566.51059326527,2566.51059326527,2566.51059326527
"2136215",67294.0959418335,967.561908141379,967.561908141379,967.561908141379,967.561908141379
"2136320",66021.3006944931,955.154871580577,955.154871580577,955.154871580577,955.154871580577
"2136345",64992.7745020562,164.622401105111,164.622401105111,164.622401105111,164.622401105111
"2136450",65945.4748248385,176.65301380314,176.65301380314,176.65301380314,120.452891666919
"2136455",66032.1569692943,0,0,0,0
"2136380",66008.2856186894,0,0,0,0
"2136385",65655.0182947271,0,0,0,0
"2136280",66196.7619546461,546.998309767943,546.998309767943,546.998309767943,144.65704181029
"2136405",64808.9662672069,449.695435096676,449.695435096676,0,0
"2136400",64656.4662808108,0,0,0,0
"2136010",66492.5697350305,4364.60037254615,4364.60037254615,3270.20673581881,3270.20673581881
"2136210",67373.6576934062,1246.05915941015,1246.05915941015,1246.05915941015,1246.05915941015
"2136140",68003.7575918463,1908.90774101486,1908.90774101486,1908.90774101486,1908.90774101486
"2136100",67715.6715639374,2349.56467777071,2349.56467777071,167.535959021874,134.817754726516
"2136105",68069.6301788919,2743.43998073543,2743.43998073543,182.777854834379,129.777978502235
"2136250",66981.5749075983,1505.62494612039,1505.62494612039,468.602982842303,451.084182570461
"2136070",68616.7891847952,1627.00989131931,1627.00989131931,0,0
