tower_id,tower_area
"31166",5640999.59365845
"59941",67431895.9731445
"39446",11768427.9582214
"10665",13691909.4135742
"55831",17333800.4782104
"31161",3272828.20758057
"55832",7663934.9234314
"55845",66542389.0647583
"18866",9462781.14810181
"31172",8302606.9118042
"80397",50060430.4553223
"10681",39738122.2126465
"80406",42258909.3084717
"6588",11401006.5352783
"39457",9578989.21560669
"72201",57700005.4721375
"68110",17977206.7789001
"68103",3922333.20864868
"80413",4029792.29724121
"68104",1755138.12390137
"80411",3113348.7020874
"80412",1058874.03811646
"68111",20792043.4637146
"10633",29975830.9628601
"22928",26514123.3366699
"80420",119406072.218658
"72218",24882219.2197266
"43518",30304547.6288452
"22940",31927528.0666199
"43526",12526323.263031
"27042",24982041.8859863
"14745",50123228.5256958
"43523",24092182.2221069
"39430",4319847.17773438
"39427",1293321.69390869
"39428",2861039.22659302
"31082",94443833.6652222
"55761",52483952.7434082
"10655",33534872.9427795
"96718",16589836.1859131
"104984",18451225.0176392
"10601",25457357.5188599
"27006",20283252.4675293
"39375",45817086.3106689
"43483",9742909.85153198
"43484",14055309.9536133
"10609",25274412.4197083
"51681",1093307.05108643
"51682",1702375.48828125
"43494",15841599.6044617
"10616",53631729.0740662
"39391",57322872.6748047
"35295",79069297.7469177
"34990",8732426.39956665
"26964",48976766.9079895
"22869",1746351.91760254
"22877",9633769.25354004
"14673",34478626.7209778
"47288",19525275.5607605
"80352",85292907.0844421
"47295",15737532.3047791
"88242",72120742.223053
"10586",1941650.19973755
"31274",35121093.8331909
"27175",15650764.1676025
"47253",32284580.8112488
"31281",13262795.6252747
"59555",47959903.9126892
"43151",38888906.8661194
"2605",11958685.3756714
"108717",3544071.05300903
"75974",3085630.83914185
"34959",33642969.7293701
"43162",2816202.88296509
"43160",10434046.7228088
"2611",12870421.4760132
"108724",4779720.42248535
"27149",4694038.8782959
"108722",6810984.58026123
"27148",2442991.31655884
"27145",2158345.95462036
"108733",7057694.87368774
"2620",13424250.2792969
"27143",1641111.07070923
"84123",105467924.532959
"2615",13642716.1346741
"34925",2573252.16818237
"27155",6570847.63168335
"39017",3178178.90338135
"14859",43672465.9872131
"2627",6283666.30963135
"34924",3648193.67370605
"27152",6876396.6781311
"6668",27389549.3952332
"34934",4782997.54568481
"34939",7204824.84506226
"63574",52444455.5324707
"18925",45724104.5123596
"2595",3825966.20755005
"67698",157063976.188049
"27133",1108343.21350098
"2591",4896055.36343384
"27134",1499209.62161255
"6635",32289113.5237122
"63586",80650619.6178284
"27131",1446364.26184082
"27132",846210.244812012
"92233",149456505.056549
"27130",144223.037536621
"39006",3928022.38540649
"27142",1186583.56140137
"27137",1211519.3757019
"27138",917028.408050537
"27135",639209.437896729
"27136",1372027.84902954
"39011",1262026.69577026
"34915",4900104.07141113
"39010",1559925.63037109
"34913",3030125.55636597
"39008",1909886.19650269
"34914",1911497.26043701
"27098",7637518.59280396
"39230",15385209.0727844
"6609",29947058.414093
"10717",42562867.4219666
"51520",53824099.5367737
"39236",20715062.1861267
"30901",963920.462188721
"30902",1685681.04031372
"22700",50920642.5463562
"30899",691197.240783691
"30900",1086815.25592041
"30897",1325080.22265625
"30898",837032.818359375
"39178",3858967.29272461
"30909",4058830.1973877
"10414",15917257.9638672
"39176",1513862.70294189
"30908",3617651.00561523
"30903",908619.086151123
"30904",2466373.45925903
"80193",156853223.574097
"30913",2891258.50036621
"35102",132938642.485809
"30912",1872731.28829956
"39191",9069130.81054688
"18616",10504375.0405884
"18629",27476105.303772
"6333",14515193.1530151
"59635",16063811.3314819
"47342",164867255.290009
"39201",15278260.1942749
"67854",3055056.56817627
"51431",2114837.75372314
"51432",3688617.49584961
"39149",3264858.51565552
"55535",58657714.3045654
"39148",16402723.834259
"14475",88895970.1147461
"22673",5895436.58782959
"67855",15322436.0440979
"26782",69640316.1454773
"22671",10585411.9797974
"71964",12269740.0307922
"71961",43556037.2671509
"43261",13659623.1352539
"80161",5461959.90393066
"80160",7259248.75262451
"10383",36416660.1105347
"84212",53390604.8926697
"43213",27582684.7810974
"84207",41963594.1682434
"84221",124406068.340485
"22634",8462294.85635376
"39113",309488643.964172
"43220",26539625.3062439
"67824",153731898.305939
"14452",65693664.7375183
"51430",4807121.26394653
"96468",20106393.1081238
"26755",6419564.19210815
"26754",6041895.18365479
"67842",46961918.9821472
"26752",17267624.786377
"84179",100624180.706818
"75975",1769626.70495605
"96486",117100371.191772
"104701",19669288.4111938
"26708",45413710.535614
"71888",56518021.4142456
"30812",138506984.527466
"22619",5030451.95462036
"41905",7020085.37734985
"41904",9444920.86581421
"50103",96109952.2249146
"22630",11619751.9301147
"10334",1972038.20724487
"46008",12464352.6984863
"58251",36725480.4933167
"31029",3469877.18460083
"31027",7622952.29577637
"99256",55512073.1549072
"31028",1771507.71044922
"10335",6134601.23561096
"74677",24388282.1318054
"74678",48362324.1460876
"2347",5099852.57409668
"26938",105110009.026215
"2357",6608005.76068115
"2354",2917529.37469482
"78733",20654721.8799133
"26893",2137421.41696167
"2351",11111882.2215881
"26894",1598102.40866089
"26891",2837341.98248291
"41893",24717046.8579102
"26892",1176785.10003662
"74638",35558385.8078613
"26889",2207827.12124634
"26890",1747099.17218018
"26887",1288646.06253052
"30995",11931605.6831665
"30994",30278200.2852783
"2374",2948680.09768677
"26897",3524886.29415894
"2372",4912200.96511841
"26895",2354617.83370972
"6414",15148892.8200073
"26905",6005997.30020142
"107460",4695415.95062256
"45948",7127091.16827393
"14620",51513415.6352844
"50053",22081171.7995911
"30953",67694771.1112061
"37754",8086736.21469116
"86895",223115259.882446
"2342",4737182.49215698
"10477",38651457.3576965
"37710",5966901.76321411
"22768",226615672.10556
"30979",48709016.8835449
"26885",789917.596252441
"26886",1428099.50469971
"26883",1311464.96447754
"26884",770291.399536133
"37711",5786504.73483276
"26881",637653.74597168
"26882",981723.53817749
